fight_id,fight_date,a_fighter_name,b_fighter_name,a_prior_fights,b_prior_fights,a_prior_win_rate,b_prior_win_rate,predicted_side,predicted_winner,actual_winner,predicted_correct,chosen_odds,edge,bet_placed,profit_units
ddbe6fd66d7f9e35,2021-01-20,Zarrukh Adashev,Sumudaerji,3,7,0.0,0.7143,b,Sumudaerji,Sumudaerji,1,4.0,0.4643,1,3.0
3d3e7dc7b4bf2bc4,2021-01-23,Dustin Poirier,Conor McGregor,46,24,0.7826,0.8333,b,Conor McGregor,Dustin Poirier,0,1.3279,0.0802,1,-1.0
3d3e7dc7b4bf2bc4,2021-01-23,Conor McGregor,Dustin Poirier,25,47,0.8,0.7872,a,Conor McGregor,Dustin Poirier,0,3.5,0.5143,1,-1.0
65352221c0bfe52d,2021-01-23,Andrew Sanchez,Makhmud Muradov,16,4,0.625,1.0,b,Makhmud Muradov,Makhmud Muradov,1,2.15,0.5349,1,1.15
65352221c0bfe52d,2021-01-23,Makhmud Muradov,Andrew Sanchez,5,17,1.0,0.5882,a,Makhmud Muradov,Makhmud Muradov,1,1.6993,0.4115,1,0.6993
83da743f6dda7dcc,2021-01-23,Julianna Pena,Sara McMann,14,22,0.7143,0.5455,a,Julianna Pena,Julianna Pena,1,2.05,0.2265,1,1.05
83da743f6dda7dcc,2021-01-23,Sara McMann,Julianna Pena,23,15,0.5217,0.7333,b,Julianna Pena,Julianna Pena,1,1.7692,0.1681,1,0.7692
92f569a6d9374b86,2021-01-23,Brad Tavares,Antonio Carlos Junior,36,22,0.6667,0.6364,a,Brad Tavares,Brad Tavares,1,1.7463,0.094,1,0.7463
92f569a6d9374b86,2021-01-23,Antonio Carlos Junior,Brad Tavares,23,37,0.6087,0.6757,b,Brad Tavares,Brad Tavares,1,2.05,0.1879,1,1.05
aaf45b095452be23,2021-01-23,Amir Albazi,Zhalgas Zhumagulov,2,2,1.0,0.0,a,Amir Albazi,Amir Albazi,1,1.8475,0.4587,1,0.8475
aaf45b095452be23,2021-01-23,Zhalgas Zhumagulov,Amir Albazi,3,3,0.0,1.0,b,Amir Albazi,Amir Albazi,1,1.9434,0.4854,1,0.9434
c597fd8bb66d54d8,2021-01-23,Khalil Rountree Jr.,Marcin Prachnio,16,6,0.5,0.0,a,Khalil Rountree Jr.,Marcin Prachnio,0,3.5,0.2143,1,-1.0
c597fd8bb66d54d8,2021-01-23,Marcin Prachnio,Khalil Rountree Jr.,7,17,0.1429,0.4706,b,Khalil Rountree Jr.,Marcin Prachnio,0,1.2985,-0.2995,0,0.0
cd08b68f0bafafbf,2021-01-23,Marina Rodriguez,Amanda Ribas,6,8,0.6667,1.0,b,Amanda Ribas,Marina Rodriguez,0,3.5,0.7143,1,-1.0
cd08b68f0bafafbf,2021-01-23,Amanda Ribas,Marina Rodriguez,9,7,0.8889,0.7143,a,Amanda Ribas,Marina Rodriguez,0,1.2985,0.1188,1,-1.0
f3ccbfd7036f3cf3,2021-01-23,Nik Lentz,Movsar Evloev,44,6,0.6364,1.0,b,Movsar Evloev,Movsar Evloev,1,1.1786,0.1515,1,0.1786
f3ccbfd7036f3cf3,2021-01-23,Movsar Evloev,Nik Lentz,7,45,1.0,0.6222,a,Movsar Evloev,Movsar Evloev,1,4.9,0.7959,1,3.9
86d6e09932c5b551,2021-02-06,SeungWoo Choi,Youssef Zalal,6,8,0.3333,0.75,b,Youssef Zalal,SeungWoo Choi,0,2.75,0.3864,1,-1.0
86d6e09932c5b551,2021-02-06,Youssef Zalal,SeungWoo Choi,9,7,0.6667,0.4286,a,Youssef Zalal,SeungWoo Choi,0,1.4348,-0.0303,0,0.0
8b9bdacca749ec90,2021-02-06,Alistair Overeem,Alexander Volkov,38,16,0.6316,0.75,b,Alexander Volkov,Alexander Volkov,1,2.5,0.35,1,1.5
8b9bdacca749ec90,2021-02-06,Alexander Volkov,Alistair Overeem,17,39,0.7647,0.6154,a,Alexander Volkov,Alexander Volkov,1,1.5495,0.1193,1,0.5495
9ef858837dfc65eb,2021-02-06,Cory Sandhagen,Frankie Edgar,14,52,0.8571,0.6923,a,Cory Sandhagen,Cory Sandhagen,1,1.25,0.0571,1,0.25
9ef858837dfc65eb,2021-02-06,Frankie Edgar,Cory Sandhagen,53,15,0.6792,0.8667,b,Cory Sandhagen,Cory Sandhagen,1,4.0,0.6167,1,3.0
af8ea6db042674ef,2021-02-06,Mike Rodriguez,Danilo Marques,10,2,0.4,1.0,b,Danilo Marques,Danilo Marques,1,2.88,0.6528,1,1.88
af8ea6db042674ef,2021-02-06,Danilo Marques,Mike Rodriguez,3,11,1.0,0.3636,a,Danilo Marques,Danilo Marques,1,1.4167,0.2941,1,0.4167
bbade63ca780668f,2021-02-06,Diego Ferreira,Beneil Dariush,20,34,0.8,0.7647,a,Diego Ferreira,Beneil Dariush,0,2.05,0.3122,1,-1.0
bbade63ca780668f,2021-02-06,Beneil Dariush,Diego Ferreira,35,21,0.7714,0.7619,a,Beneil Dariush,Beneil Dariush,1,2.05,0.2836,1,1.05
d65da3a3bc675449,2021-02-06,Molly McCann,Lara Procopio,10,2,0.6,0.0,a,Molly McCann,Lara Procopio,0,1.565,-0.039,0,0.0
d65da3a3bc675449,2021-02-06,Lara Procopio,Molly McCann,3,11,0.3333,0.5455,b,Molly McCann,Lara Procopio,0,2.4,0.1288,1,-1.0
f4fbb11055301e75,2021-02-06,Michael Johnson,Clay Guida,46,58,0.4783,0.5172,b,Clay Guida,Clay Guida,1,2.75,0.1536,1,1.75
f4fbb11055301e75,2021-02-06,Clay Guida,Michael Johnson,59,47,0.5254,0.4681,a,Clay Guida,Clay Guida,1,1.4444,-0.1669,0,0.0
17616514e8fdacb9,2021-02-13,Polyana Viana,Mallory Martin,10,4,0.4,0.5,b,Mallory Martin,Polyana Viana,0,2.0,0.0,0,0.0
17616514e8fdacb9,2021-02-13,Mallory Martin,Polyana Viana,5,11,0.4,0.4545,b,Polyana Viana,Polyana Viana,1,2.0,-0.0455,0,0.0
