Feature1,Feature2,Correlation
a_height,a_reach,0.8968500026851333
last5_avg_sig_landed_against_diff,rw_avg_sig_attempted_against_diff,0.8934631469728407
a_rw_avg_sig_landed_for,a_last3_avg_sig_attempted_for,0.8933466634361048
b_rw_avg_sig_landed_for,b_last3_avg_sig_attempted_for,0.8933466634361035
a_rw_avg_sig_landed_against,a_last3_avg_sig_attempted_against,0.8906814813899534
b_avg_sig_attempted_for,b_last3_avg_sig_attempted_for,0.8903079591335602
a_avg_sig_attempted_for,a_last3_avg_sig_attempted_for,0.890307959133559
b_avg_sig_attempted_for,b_rw_avg_sig_landed_for,0.8880010560814002
a_avg_sig_attempted_for,a_rw_avg_sig_landed_for,0.8880010560813912
a_avg_ctrl_seconds_against,a_last3_avg_ctrl_seconds_against,0.8874172006251666
b_avg_ctrl_seconds_against,b_last3_avg_ctrl_seconds_against,0.8874172006251655
b_avg_sig_landed_for,b_last3_avg_sig_landed_for,0.8871421330231336
b_prior_fights,b_prior_losses,0.8856429178724
a_prior_fights,a_prior_losses,0.8856429178723952
b_avg_td_landed_against,b_last3_avg_td_landed_against,0.8854788318545934
b_avg_sig_attempted_against,b_rw_avg_sig_landed_against,0.884019035054034
a_avg_sig_attempted_against,a_rw_avg_sig_landed_against,0.8840190350540257
prior_losses_diff,prior_scheduled_rounds_total_diff,0.8825173932256893
a_avg_sig_attempted_against,a_last3_avg_sig_attempted_against,0.8820483832460638
avg_sub_att_against_diff,last3_avg_sub_att_against_diff,0.8806659346027924
b_avg_sig_landed_for,b_last5_avg_sig_attempted_for,0.8783635282540486
last3_avg_sig_landed_for_diff,rw_avg_sig_attempted_for_diff,0.8745697767488171
b_last3_avg_sig_landed_for,b_last5_avg_sig_attempted_for,0.8733962739621577
a_last3_avg_sig_landed_for,a_last5_avg_sig_attempted_for,0.8733962739621548
avg_ctrl_seconds_against_diff,last3_avg_ctrl_seconds_against_diff,0.8714429108451821
last3_avg_win_flag_diff,last5_avg_win_flag_diff,0.8701633290492332
b_avg_sig_landed_against,b_last5_avg_sig_attempted_against,0.8687033232017353
reach_diff,physical_diff,0.865649190770419
avg_sig_landed_against_diff,rw_avg_sig_attempted_against_diff,0.8653546240355477
avg_td_landed_against_diff,last3_avg_td_landed_against_diff,0.8651530460482212
avg_sig_attempted_against_diff,rw_avg_sig_landed_against_diff,0.8647139608562013
a_avg_fight_seconds,a_last3_avg_fight_seconds,0.8646310870167322
b_avg_fight_seconds,b_last3_avg_fight_seconds,0.8646310870167291
a_avg_kd_for,a_last3_avg_kd_for,0.8631464578458538
avg_sig_landed_for_diff,rw_avg_sig_attempted_for_diff,0.8631276690109471
last5_avg_loss_flag_diff,prior_win_rate_diff,0.8588430154890982
avg_sig_landed_for_diff,last3_avg_sig_landed_for_diff,0.8569830476968754
